Time_Index,Drift_Type,Top_Features,Errors
902,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(21.90043966617162), np.float64(4.172849781917929), np.float64(2.9516931990581403)]"
903,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(22.29707030378581), np.float64(4.232887107257265), np.float64(3.028838662238262)]"
904,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(22.835379840321444), np.float64(4.329896336848212), np.float64(3.1305951677478507)]"
905,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(23.730562456711176), np.float64(4.489042930645271), np.float64(3.272655462135149)]"
906,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(24.573003544530852), np.float64(4.638734554955251), np.float64(3.400719296527742)]"
907,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(24.771075063591283), np.float64(4.637263850098452), np.float64(3.388041416660612)]"
908,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'BORE_OIL_VOL']","[np.float64(59.307413066911394), np.float64(12.90122875807557), np.float64(7.36452460977044)]"
909,Sensor Drift,"['AVG_WHP_P', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(65.76282419254656), np.float64(19.056845693823618), np.float64(17.946660842477524)]"
910,Environmental Drift,"['AVG_WHP_P', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(99.38616267354817), np.float64(38.18636536301139), np.float64(29.60435946844198)]"
911,Environmental Drift,"['AVG_WHP_P', 'BORE_OIL_VOL', 'AVG_DOWNHOLE_PRESSURE']","[np.float64(185.30908808489204), np.float64(92.87270484203216), np.float64(62.64490678753433)]"
912,Environmental Drift,"['AVG_WHP_P', 'BORE_OIL_VOL', 'AVG_DOWNHOLE_PRESSURE']","[np.float64(350.7909502873015), np.float64(273.23172369433917), np.float64(172.47723199949718)]"
913,Environmental Drift,"['AVG_WHP_P', 'BORE_OIL_VOL', 'AVG_DOWNHOLE_PRESSURE']","[np.float64(540.4240528234486), np.float64(537.8670282065569), np.float64(357.0553785089057)]"
914,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_TEMPERATURE', 'DP_CHOKE_SIZE']","[np.float64(245.44462414313148), np.float64(97.68095325594052), np.float64(68.09037539638157)]"
915,Sensor Drift,"['BORE_OIL_VOL', 'AVG_DOWNHOLE_TEMPERATURE', 'DP_CHOKE_SIZE']","[np.float64(243.79660010152452), np.float64(202.8138220164147), np.float64(73.66858839726144)]"
916,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'AVG_WHP_P']","[np.float64(197.9881746147887), np.float64(184.95774606265462), np.float64(51.34599054367443)]"
917,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'AVG_WHP_P', 'BORE_OIL_VOL']","[np.float64(147.5483922228538), np.float64(140.72555644786215), np.float64(129.30777113352195)]"
918,Sensor Drift,"['AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL', 'AVG_WHP_P']","[np.float64(159.8611938198174), np.float64(143.56320262648921), np.float64(141.8636674550794)]"
919,Sensor Drift,"['BORE_OIL_VOL', 'AVG_DOWNHOLE_TEMPERATURE', 'AVG_WHP_P']","[np.float64(204.09512058087162), np.float64(174.8994065276608), np.float64(100.14084785585118)]"
920,Environmental Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_TEMPERATURE', 'BORE_OIL_VOL']","[np.float64(169.42599865409088), np.float64(154.46100890633545), np.float64(142.6519551959255)]"
921,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(158.19532682399867), np.float64(128.09667104282684), np.float64(127.83710892389165)]"
922,Sensor Drift,"['AVG_DOWNHOLE_PRESSURE', 'AVG_WHP_P', 'BORE_OIL_VOL']","[np.float64(427.0428139052234), np.float64(380.1977536203332), np.float64(315.6810464580272)]"
923,Sensor Drift,"['AVG_WHP_P', 'BORE_OIL_VOL', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(29.55838208958007), np.float64(22.87817495205606), np.float64(22.0028140136758)]"
924,Sensor Drift,"['AVG_WHP_P', 'BORE_OIL_VOL', 'DP_CHOKE_SIZE']","[np.float64(8.695118874665962), np.float64(3.001094290070322), np.float64(2.6439120103612535)]"
925,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_PRESSURE', 'BORE_OIL_VOL']","[np.float64(1.2177324638994567), np.float64(0.9989451474982711), np.float64(0.8733629293668997)]"
926,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_PRESSURE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(2.172604901318477), np.float64(0.8780078602954389), np.float64(0.7915936163335748)]"
927,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_TEMPERATURE', 'AVG_DOWNHOLE_PRESSURE']","[np.float64(2.830374689701428), np.float64(0.8747111041783745), np.float64(0.8580846234274475)]"
928,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_TEMPERATURE', 'AVG_DOWNHOLE_PRESSURE']","[np.float64(4.532017284895152), np.float64(1.03867679130337), np.float64(0.8316935132360262)]"
929,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(7.562405467809964), np.float64(1.401097417320016), np.float64(1.2409863416600895)]"
930,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(10.619952937820873), np.float64(1.9549687804746156), np.float64(1.4077393637959883)]"
931,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(12.429782357111815), np.float64(2.08575483361005), np.float64(1.6380631357363449)]"
932,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(14.321596270600349), np.float64(2.1330507110994956), np.float64(1.9455767061916838)]"
933,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_TEMPERATURE', 'DP_CHOKE_SIZE']","[np.float64(16.60083352705909), np.float64(2.345666490423942), np.float64(2.1282243425587155)]"
934,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_TEMPERATURE', 'DP_CHOKE_SIZE']","[np.float64(19.450867332151716), np.float64(2.891999018658397), np.float64(2.164018877349924)]"
935,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_TEMPERATURE', 'DP_CHOKE_SIZE']","[np.float64(23.254091209920563), np.float64(3.6013787717916133), np.float64(2.355354600728299)]"
936,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_TEMPERATURE', 'DP_CHOKE_SIZE']","[np.float64(28.211711310914097), np.float64(4.53283105842573), np.float64(2.71416245824292)]"
937,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_TEMPERATURE', 'DP_CHOKE_SIZE']","[np.float64(34.59975183991965), np.float64(5.610314209828222), np.float64(3.912969007202282)]"
938,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_TEMPERATURE', 'DP_CHOKE_SIZE']","[np.float64(38.92571613822558), np.float64(6.720438491204187), np.float64(4.34173072336147)]"
939,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_TEMPERATURE', 'DP_CHOKE_SIZE']","[np.float64(41.612513272865236), np.float64(7.783275842169803), np.float64(4.9165407702143815)]"
940,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_TEMPERATURE', 'DP_CHOKE_SIZE']","[np.float64(45.21463963124628), np.float64(8.921818898886402), np.float64(7.194912494849747)]"
941,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_TEMPERATURE', 'DP_CHOKE_SIZE']","[np.float64(45.68338661731567), np.float64(9.185064786477936), np.float64(8.707996687713376)]"
942,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(71.76323912794327), np.float64(17.784217746601886), np.float64(12.522298515405074)]"
943,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(54.69644363326593), np.float64(14.275986184229954), np.float64(10.733166526659751)]"
944,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(51.59742781095149), np.float64(12.026153670548432), np.float64(9.98635455127148)]"
945,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(53.729713699013075), np.float64(11.46795476835526), np.float64(9.560679035483874)]"
946,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(54.99775736256822), np.float64(11.402448054222003), np.float64(9.220268592120942)]"
947,Sensor Drift,"['AVG_WHP_P', 'DP_CHOKE_SIZE', 'AVG_DOWNHOLE_TEMPERATURE']","[np.float64(52.684457357535294), np.float64(9.763275871297072), np.float64(8.96033850459442)]"
948,Sensor Drift,"['AVG_WHP_P', 'AVG_DOWNHOLE_TEMPERATURE', 'DP_CHOKE_SIZE']","[np.float64(47.9696070078122), np.float64(8.617048592986459), np.float64(8.43769271261064)]"
